time in seconds, count in bar, beats in bar
0.37 , 2 , 4
0.97 , 3 , 4
1.57 , 4 , 4
2.17 , 1 , 4
2.77 , 2 , 4
3.37 , 3 , 4
3.97 , 4 , 4
4.57 , 1 , 4
5.17 , 2 , 4
5.77 , 3 , 4
6.37 , 4 , 4
6.97 , 1 , 4
7.57 , 2 , 4
8.17 , 3 , 4
8.77 , 4 , 4
9.37 , 1 , 4
9.97 , 2 , 4
10.57 , 3 , 4
11.17 , 4 , 4
11.77 , 1 , 4
12.37 , 2 , 4
12.97 , 3 , 4
13.57 , 4 , 4
14.17 , 1 , 4
14.77 , 2 , 4
15.37 , 3 , 4
15.97 , 4 , 4
16.57 , 1 , 4
17.17 , 2 , 4
17.77 , 3 , 4
18.37 , 4 , 4
18.97 , 1 , 4
19.57 , 2 , 4
20.17 , 3 , 4
20.77 , 4 , 4
21.37 , 1 , 4
21.97 , 2 , 4
22.57 , 3 , 4
23.17 , 4 , 4
23.77 , 1 , 4
24.37 , 2 , 4
24.97 , 3 , 4
25.57 , 4 , 4
26.17 , 1 , 4
26.77 , 2 , 4
27.37 , 3 , 4
27.97 , 4 , 4
28.57 , 1 , 4
29.17 , 2 , 4
29.77 , 3 , 4
30.37 , 4 , 4
30.97 , 1 , 4
31.57 , 2 , 4
32.17 , 3 , 4
32.77 , 4 , 4
33.37 , 1 , 4
33.97 , 2 , 4
34.57 , 3 , 4
35.17 , 4 , 4
35.77 , 1 , 4
36.37 , 2 , 4
36.97 , 3 , 4
37.57 , 4 , 4
38.17 , 1 , 4
38.77 , 2 , 4
39.37 , 3 , 4
39.97 , 4 , 4
40.57 , 1 , 4
41.17 , 2 , 4
41.77 , 3 , 4
42.37 , 4 , 4
42.97 , 1 , 3
43.57 , 2 , 3
44.17 , 3 , 3
44.77 , 1 , 3
45.37 , 2 , 3
45.97 , 3 , 3
46.57 , 1 , 3
47.17 , 2 , 3
47.77 , 3 , 3
48.37 , 1 , 3
48.97 , 2 , 3
49.57 , 3 , 3
50.17 , 1 , 3
50.77 , 2 , 3
51.37 , 3 , 3
51.97 , 1 , 3
52.57 , 2 , 3
53.17 , 3 , 3
53.77 , 1 , 3
54.37 , 2 , 3
54.97 , 3 , 3
55.57 , 1 , 4
56.17 , 2 , 4
56.77 , 3 , 4
57.37 , 4 , 4
57.97 , 1 , 4
58.57 , 2 , 4
59.17 , 3 , 4
59.77 , 4 , 4
60.37 , 1 , 4
60.97 , 2 , 4
61.57 , 3 , 4
62.17 , 4 , 4
62.77 , 1 , 4
63.37 , 2 , 4
63.97 , 3 , 4
64.57 , 4 , 4
65.17 , 1 , 4
65.77 , 2 , 4
66.37 , 3 , 4
66.97 , 4 , 4
67.57 , 1 , 4
68.17 , 2 , 4
68.77 , 3 , 4
69.37 , 4 , 4
69.97 , 1 , 4
70.57 , 2 , 4
71.17 , 3 , 4
71.77 , 4 , 4
72.37 , 1 , 4
72.97 , 2 , 4
73.57 , 3 , 4
74.17 , 4 , 4
74.77 , 1 , 4
75.37 , 2 , 4
75.97 , 3 , 4
76.57 , 4 , 4
77.17 , 1 , 4
77.77 , 2 , 4
78.37 , 3 , 4
78.97 , 4 , 4
79.57 , 1 , 4
80.17 , 2 , 4
80.77 , 3 , 4
81.37 , 4 , 4
81.97 , 1 , 4
82.57 , 2 , 4
83.17 , 3 , 4
83.77 , 4 , 4
84.37 , 1 , 4
84.97 , 2 , 4
85.57 , 3 , 4
86.17 , 4 , 4
86.77 , 1 , 4
87.37 , 2 , 4
87.97 , 3 , 4
88.57 , 4 , 4
89.17 , 1 , 4
89.77 , 2 , 4
90.37 , 3 , 4
90.97 , 4 , 4
91.57 , 1 , 4
92.17 , 2 , 4
92.77 , 3 , 4
93.37 , 4 , 4
93.97 , 1 , 4
94.57 , 2 , 4
95.17 , 3 , 4
95.77 , 4 , 4
96.37 , 1 , 4
96.97 , 2 , 4
97.57 , 3 , 4
98.17 , 4 , 4
98.77 , 1 , 4
99.37 , 2 , 4
99.97 , 3 , 4
100.57 , 4 , 4
101.17 , 1 , 4
101.77 , 2 , 4
102.37 , 3 , 4
102.97 , 4 , 4
103.57 , 1 , 4
104.17 , 2 , 4
104.77 , 3 , 4
105.37 , 4 , 4
105.97 , 1 , 4
106.57 , 2 , 4
107.17 , 3 , 4
107.77 , 4 , 4
108.37 , 1 , 4
108.97 , 2 , 4
109.57 , 3 , 4
110.17 , 4 , 4
110.77 , 1 , 4
111.37 , 2 , 4
111.97 , 3 , 4
112.57 , 4 , 4
113.17 , 1 , 4
113.77 , 2 , 4
114.37 , 3 , 4
114.97 , 4 , 4
115.57 , 1 , 4
116.17 , 2 , 4
116.77 , 3 , 4
117.37 , 4 , 4
117.97 , 1 , 4
118.57 , 2 , 4
119.17 , 3 , 4
119.77 , 4 , 4
120.37 , 1 , 4
120.97 , 2 , 4
121.57 , 3 , 4
122.17 , 4 , 4
122.77 , 1 , 4
123.37 , 2 , 4
123.97 , 3 , 4
124.57 , 4 , 4
125.17 , 1 , 4
125.77 , 2 , 4
126.37 , 3 , 4
126.97 , 4 , 4
127.57 , 1 , 4
128.17 , 2 , 4
128.77 , 3 , 4
129.37 , 4 , 4
129.97 , 1 , 4
130.57 , 2 , 4
131.17 , 3 , 4
131.77 , 4 , 4
132.37 , 1 , 4
132.97 , 2 , 4
133.57 , 3 , 4
134.17 , 4 , 4
134.77 , 1 , 4
135.37 , 2 , 4
135.97 , 3 , 4
136.57 , 4 , 4
137.17 , 1 , 4
137.77 , 2 , 4
138.37 , 3 , 4
138.97 , 4 , 4
139.57 , 1 , 4
140.17 , 2 , 4
140.77 , 3 , 4
141.37 , 4 , 4
141.97 , 1 , 4
142.57 , 2 , 4
143.17 , 3 , 4
143.77 , 4 , 4
144.37 , 1 , 4
144.97 , 2 , 4
145.57 , 3 , 4
146.17 , 4 , 4
146.77 , 1 , 4
147.37 , 2 , 4
147.97 , 3 , 4
148.57 , 4 , 4
149.17 , 1 , 4
149.77 , 2 , 4
150.37 , 3 , 4
150.97 , 4 , 4
151.57 , 1 , 4
152.17 , 2 , 4
152.77 , 3 , 4
153.37 , 4 , 4
153.97 , 1 , 4
154.57 , 2 , 4
155.17 , 3 , 4
155.77 , 4 , 4
156.37 , 1 , 4
156.97 , 2 , 4
157.57 , 3 , 4
158.17 , 4 , 4
158.77 , 1 , 4
159.37 , 2 , 4
159.97 , 3 , 4
160.57 , 4 , 4
161.17 , 1 , 4
161.77 , 2 , 4
162.37 , 3 , 4
162.97 , 4 , 4
163.57 , 1 , 4
164.17 , 2 , 4
164.77 , 3 , 4
165.37 , 4 , 4
165.97 , 1 , 4
166.57 , 2 , 4
167.17 , 3 , 4
167.77 , 4 , 4
168.37 , 1 , 4
168.97 , 2 , 4
169.57 , 3 , 4
170.17 , 4 , 4
170.77 , 1 , 4
171.37 , 2 , 4
171.97 , 3 , 4
172.57 , 4 , 4
173.17 , 1 , 4
173.77 , 2 , 4
174.37 , 3 , 4
174.97 , 4 , 4
175.57 , 1 , 4
176.17 , 2 , 4
176.77 , 3 , 4
177.37 , 4 , 4
177.97 , 1 , 4
178.57 , 2 , 4
179.17 , 3 , 4
179.77 , 4 , 4
180.37 , 1 , 4
180.97 , 2 , 4
181.57 , 3 , 4
182.17 , 4 , 4
182.77 , 1 , 4
183.37 , 2 , 4
183.97 , 3 , 4
184.57 , 4 , 4
185.17 , 1 , 4
185.77 , 2 , 4
186.37 , 3 , 4
186.97 , 4 , 4
187.57 , 1 , 4
188.17 , 2 , 4
188.77 , 3 , 4
189.37 , 4 , 4
189.97 , 1 , 4
190.57 , 2 , 4
191.17 , 3 , 4
191.77 , 4 , 4
192.37 , 1 , 4
192.97 , 2 , 4
193.57 , 3 , 4
194.17 , 4 , 4
194.77 , 1 , 4
195.37 , 2 , 4
195.97 , 3 , 4
196.57 , 4 , 4
197.17 , 1 , 4
197.77 , 2 , 4
198.37 , 3 , 4
198.97 , 4 , 4
199.57 , 1 , 4
200.17 , 2 , 4
200.77 , 3 , 4
201.37 , 4 , 4
201.97 , 1 , 4
202.57 , 2 , 4
203.17 , 3 , 4
203.77 , 4 , 4
204.37 , 1 , 4
204.97 , 2 , 4
205.57 , 3 , 4
206.17 , 4 , 4
206.77 , 1 , 4
207.37 , 2 , 4
207.97 , 3 , 4
208.57 , 4 , 4
209.17 , 1 , 4
209.77 , 2 , 4
210.35 , 3 , 4
210.93 , 4 , 4
211.51 , 1 , 4
212.11 , 2 , 4
212.71 , 3 , 4
213.33 , 4 , 4
213.95 , 1 , 4
214.57 , 2 , 4
215.19 , 3 , 4
215.81 , 4 , 4
216.43 , 1 , 4
217.05 , 2 , 4
217.67 , 3 , 4
218.31 , 4 , 4
218.95 , 1 , 4
219.59 , 2 , 4
220.23 , 3 , 4
220.87 , 4 , 4
221.51 , 1 , 4
222.15 , 2 , 4
222.79 , 3 , 4
223.43 , 4 , 4
224.07 , 1 , 4
224.71 , 2 , 4
225.35 , 3 , 4
226 , 4 , 4
226.65 , 1 , 4
227.3 , 2 , 4
227.95 , 3 , 4
228.6 , 4 , 4
229.25 , 1 , 4
