time in seconds, count in bar, beats in bar
0.64 , 3 , 3
1.56 , 1 , 3
2.48 , 2 , 3
3.4 , 3 , 3
4.32 , 1 , 3
5.24 , 2 , 3
6.16 , 3 , 3
7.05 , 1 , 3
7.94 , 2 , 3
8.83 , 3 , 3
9.72 , 1 , 3
10.61 , 2 , 3
11.53 , 3 , 3
12.45 , 1 , 3
13.37 , 2 , 3
14.31 , 3 , 3
15.25 , 1 , 3
16.19 , 2 , 3
17.11 , 3 , 3
18.03 , 1 , 3
18.95 , 2 , 3
19.87 , 3 , 3
20.79 , 1 , 3
21.71 , 2 , 3
22.63 , 3 , 3
23.55 , 1 , 3
24.44 , 2 , 3
25.33 , 3 , 3
26.22 , 1 , 3
27.11 , 2 , 3
28 , 3 , 3
28.84 , 1 , 3
29.68 , 2 , 3
30.52 , 3 , 3
31.36 , 1 , 4
32.2 , 2 , 4
33.04 , 3 , 4
33.88 , 4 , 4
34.72 , 1 , 4
35.56 , 2 , 4
36.4 , 3 , 4
37.27 , 4 , 4
38.16 , 1 , 4
39.05 , 2 , 4
39.94 , 3 , 4
40.83 , 4 , 4
41.72 , 1 , 4
42.61 , 2 , 4
43.5 , 3 , 4
44.39 , 4 , 4
45.28 , 1 , 4
46.17 , 2 , 4
47.06 , 3 , 4
47.95 , 4 , 4
48.84 , 1 , 4
49.73 , 2 , 4
50.65 , 3 , 4
51.57 , 4 , 4
52.49 , 1 , 4
53.41 , 2 , 4
54.33 , 3 , 4
55.25 , 4 , 4
56.17 , 1 , 4
57.09 , 2 , 4
58.01 , 3 , 4
58.93 , 4 , 4
59.85 , 1 , 4
60.77 , 2 , 4
61.69 , 3 , 4
62.61 , 4 , 4
63.55 , 1 , 4
64.49 , 2 , 4
65.43 , 3 , 4
66.37 , 4 , 4
67.31 , 1 , 4
68.25 , 2 , 4
69.19 , 3 , 4
70.13 , 4 , 4
71.07 , 1 , 4
72.01 , 2 , 4
72.95 , 3 , 4
73.89 , 4 , 4
74.83 , 1 , 4
75.77 , 2 , 4
76.71 , 3 , 4
77.65 , 4 , 4
78.59 , 1 , 4
79.53 , 2 , 4
80.47 , 3 , 4
81.41 , 4 , 4
82.35 , 1 , 4
83.27 , 2 , 4
84.19 , 3 , 4
85.11 , 4 , 4
86.03 , 1 , 4
86.95 , 2 , 4
87.87 , 3 , 4
88.79 , 4 , 4
89.71 , 1 , 4
90.63 , 2 , 4
91.55 , 3 , 4
92.47 , 4 , 4
93.39 , 1 , 4
94.31 , 2 , 4
95.23 , 3 , 4
96.15 , 4 , 4
97.07 , 1 , 4
97.99 , 2 , 4
98.91 , 3 , 4
99.83 , 4 , 4
100.75 , 1 , 4
101.67 , 2 , 4
102.59 , 3 , 4
103.51 , 4 , 4
104.43 , 1 , 4
105.37 , 2 , 4
106.31 , 3 , 4
107.25 , 4 , 4
108.19 , 1 , 4
109.13 , 2 , 4
110.05 , 3 , 4
110.94 , 4 , 4
111.83 , 1 , 4
112.75 , 2 , 4
113.67 , 3 , 4
114.59 , 4 , 4
115.51 , 1 , 4
116.43 , 2 , 4
117.35 , 3 , 4
118.27 , 4 , 4
119.19 , 1 , 4
120.11 , 2 , 4
121.05 , 3 , 4
121.99 , 4 , 4
122.93 , 1 , 4
123.87 , 2 , 4
124.79 , 3 , 4
125.71 , 4 , 4
126.63 , 1 , 4
127.55 , 2 , 4
128.47 , 3 , 4
129.39 , 4 , 4
130.31 , 1 , 4
131.23 , 2 , 4
132.15 , 3 , 4
133.07 , 4 , 4
133.99 , 1 , 4
134.91 , 2 , 4
135.85 , 3 , 4
136.77 , 4 , 4
137.69 , 1 , 4
138.61 , 2 , 4
139.53 , 3 , 4
140.45 , 4 , 4
141.37 , 1 , 4
142.29 , 2 , 4
143.21 , 3 , 4
144.13 , 4 , 4
145.07 , 1 , 4
145.99 , 2 , 4
146.91 , 3 , 4
147.83 , 4 , 4
148.75 , 1 , 4
149.67 , 2 , 4
150.59 , 3 , 4
151.51 , 4 , 4
152.43 , 1 , 4
153.35 , 2 , 4
154.27 , 3 , 4
155.19 , 4 , 4
156.11 , 1 , 4
157.03 , 2 , 4
157.95 , 3 , 4
158.87 , 4 , 4
159.79 , 1 , 4
160.71 , 2 , 4
161.65 , 3 , 4
162.59 , 4 , 4
163.51 , 1 , 4
164.43 , 2 , 4
165.35 , 3 , 4
166.27 , 4 , 4
167.19 , 1 , 4
168.11 , 2 , 4
169.03 , 3 , 4
169.95 , 4 , 4
170.87 , 1 , 4
171.79 , 2 , 4
172.71 , 3 , 4
173.63 , 4 , 4
174.55 , 1 , 4
175.49 , 2 , 4
176.41 , 3 , 4
177.33 , 4 , 4
178.25 , 1 , 4
179.17 , 2 , 4
180.09 , 3 , 4
181.01 , 4 , 4
181.93 , 1 , 4
182.85 , 2 , 4
183.77 , 3 , 4
184.69 , 4 , 4
185.63 , 1 , 4
186.57 , 2 , 4
187.51 , 3 , 4
188.43 , 4 , 4
189.35 , 1 , 4
190.27 , 2 , 4
191.19 , 3 , 4
192.11 , 4 , 4
193.03 , 1 , 4
193.95 , 2 , 4
194.87 , 3 , 4
195.79 , 4 , 4
196.71 , 1 , 4
197.63 , 2 , 4
198.55 , 3 , 4
199.47 , 4 , 4
200.39 , 1 , 4
201.31 , 2 , 4
202.23 , 3 , 4
203.15 , 4 , 4
204.07 , 1 , 4
204.99 , 2 , 4
205.91 , 3 , 4
206.83 , 4 , 4
207.77 , 1 , 4
208.71 , 2 , 4
209.65 , 3 , 4
210.57 , 4 , 4
211.49 , 1 , 4
212.41 , 2 , 4
213.33 , 3 , 4
