time in seconds, count in bar, beats in bar
0.17 , 1 , 4
0.55 , 2 , 4
0.93 , 3 , 4
1.31 , 4 , 4
1.69 , 1 , 4
2.07 , 2 , 4
2.45 , 3 , 4
2.83 , 4 , 4
3.21 , 1 , 4
3.59 , 2 , 4
3.97 , 3 , 4
4.35 , 4 , 4
4.73 , 1 , 4
5.11 , 2 , 4
5.49 , 3 , 4
5.87 , 4 , 4
6.25 , 1 , 4
6.63 , 2 , 4
7.02 , 3 , 4
7.41 , 4 , 4
7.8 , 1 , 4
8.19 , 2 , 4
8.57 , 3 , 4
8.95 , 4 , 4
9.33 , 1 , 4
9.71 , 2 , 4
10.11 , 3 , 4
10.51 , 4 , 4
10.91 , 1 , 4
11.31 , 2 , 4
11.71 , 3 , 4
12.11 , 4 , 4
12.51 , 1 , 4
12.91 , 2 , 4
13.31 , 3 , 4
13.71 , 4 , 4
14.11 , 1 , 4
14.51 , 2 , 4
14.91 , 3 , 4
15.31 , 4 , 4
15.71 , 1 , 4
16.11 , 2 , 4
16.5 , 3 , 4
16.89 , 4 , 4
17.28 , 1 , 4
17.68 , 2 , 4
18.08 , 3 , 4
18.48 , 4 , 4
18.88 , 1 , 4
19.28 , 2 , 4
19.7 , 3 , 4
20.12 , 4 , 4
20.54 , 1 , 4
20.96 , 2 , 4
21.38 , 3 , 4
21.8 , 4 , 4
22.22 , 1 , 4
22.64 , 2 , 4
23.06 , 3 , 4
23.48 , 4 , 4
23.87 , 1 , 4
24.26 , 2 , 4
24.64 , 3 , 4
25.02 , 4 , 4
25.4 , 1 , 4
25.78 , 2 , 4
26.16 , 3 , 4
26.54 , 4 , 4
26.93 , 1 , 4
27.32 , 2 , 4
27.71 , 3 , 4
28.09 , 4 , 4
28.47 , 1 , 4
28.85 , 2 , 4
29.23 , 3 , 4
29.61 , 4 , 4
29.99 , 1 , 4
30.37 , 2 , 4
30.76 , 3 , 4
31.15 , 4 , 4
31.54 , 1 , 4
31.93 , 2 , 4
32.32 , 3 , 4
32.71 , 4 , 4
33.1 , 1 , 4
33.49 , 2 , 4
33.88 , 3 , 4
34.27 , 4 , 4
34.66 , 1 , 4
35.05 , 2 , 4
35.44 , 3 , 4
35.82 , 4 , 4
36.2 , 1 , 4
36.58 , 2 , 4
36.96 , 3 , 4
37.34 , 4 , 4
