time in seconds, count in bar, beats in bar
0.24 , 3 , 4
0.63 , 4 , 4
1.02 , 1 , 4
1.41 , 2 , 4
1.8 , 3 , 4
2.19 , 4 , 4
2.58 , 1 , 4
2.97 , 2 , 4
3.36 , 3 , 4
3.75 , 4 , 4
4.14 , 1 , 4
4.54 , 2 , 4
4.94 , 3 , 4
5.34 , 4 , 4
5.74 , 1 , 4
6.14 , 2 , 4
6.54 , 3 , 4
6.93 , 4 , 4
7.32 , 1 , 4
7.71 , 2 , 4
8.1 , 3 , 4
8.49 , 4 , 4
8.88 , 1 , 4
9.27 , 2 , 4
9.66 , 3 , 4
10.05 , 4 , 4
10.44 , 1 , 4
10.83 , 2 , 4
11.22 , 3 , 4
11.61 , 4 , 4
12 , 1 , 4
12.39 , 2 , 4
12.78 , 3 , 4
13.17 , 4 , 4
13.56 , 1 , 4
13.95 , 2 , 4
14.34 , 3 , 4
14.73 , 4 , 4
15.11 , 1 , 4
15.49 , 2 , 4
15.87 , 3 , 4
16.26 , 4 , 4
16.65 , 1 , 4
17.04 , 2 , 4
17.43 , 3 , 4
17.82 , 4 , 4
18.21 , 1 , 4
18.6 , 2 , 4
18.99 , 3 , 4
19.38 , 4 , 4
19.77 , 1 , 4
20.16 , 2 , 4
20.55 , 3 , 4
20.94 , 4 , 4
21.33 , 1 , 4
21.73 , 2 , 4
22.13 , 3 , 4
22.53 , 4 , 4
22.93 , 1 , 4
23.33 , 2 , 4
23.73 , 3 , 4
24.13 , 4 , 4
24.53 , 1 , 4
24.93 , 2 , 4
25.32 , 3 , 4
25.71 , 4 , 4
26.09 , 1 , 4
26.47 , 2 , 4
26.85 , 3 , 4
27.23 , 4 , 4
27.61 , 1 , 4
28 , 2 , 4
28.39 , 3 , 4
28.78 , 4 , 4
29.17 , 1 , 4
29.56 , 2 , 4
29.95 , 3 , 4
30.34 , 4 , 4
30.73 , 1 , 4
31.12 , 2 , 4
31.51 , 3 , 4
31.9 , 4 , 4
32.29 , 1 , 4
32.68 , 2 , 4
33.07 , 3 , 4
33.46 , 4 , 4
33.85 , 1 , 4
34.23 , 2 , 4
34.61 , 3 , 4
34.99 , 4 , 4
35.37 , 1 , 4
35.75 , 2 , 4
36.13 , 3 , 4
36.51 , 4 , 4
36.88 , 1 , 4
37.25 , 2 , 4
37.62 , 3 , 4
37.99 , 4 , 4
38.36 , 1 , 4
38.73 , 2 , 4
39.1 , 3 , 4
39.47 , 4 , 4
39.84 , 1 , 4
40.21 , 2 , 4
40.58 , 3 , 4
40.95 , 4 , 4
41.32 , 1 , 4
41.69 , 2 , 4
