Position,BPM,Probability
8656,145.945,0.692214
17721,145.945,0.6941
26787,145.945,0.696485
35853,145.945,0.695759
44919,145.945,0.698201
53998,145.945,0.700545
63214,145.968,0.690503
72288,146.237,0.693272
81465,146.287,0.695977
90494,146.523,0.696425
99509,146.523,0.699086
108540,146.495,0.701679
117572,146.495,0.704185
126616,146.495,0.706591
135775,146.518,0.708885
144790,146.75,0.711052
153806,146.75,0.696892
162821,146.75,0.699676
171836,146.749,0.702395
180851,146.749,0.70504
189880,146.749,0.707601
198893,146.773,0.710068
207907,146.773,0.712427
216921,146.773,0.714666
225935,146.773,0.716769
234949,146.773,0.713951
243963,146.773,0.716014
252977,146.773,0.717919
261991,146.773,0.709603
271086,146.773,0.711732
280091,146.918,0.712918
289097,146.918,0.714731
298150,146.918,0.716411
307149,147.004,0.707284
316147,147.004,0.701694
325296,147.001,0.703825
334279,147.268,0.705275
343191,147.268,0.707028
352122,147.135,0.706421
361120,147.025,0.708028
370121,147.025,0.709435
379283,147.028,0.698539
388285,147.32,0.693641
397413,147.361,0.685835
406374,147.631,0.687938
415322,147.631,0.68265
424211,147.605,0.684845
433156,147.469,0.686914
442038,147.422,0.678235
451069,147.253,0.68056
460048,147.338,0.675156
468925,147.338,0.677641
477949,147.148,0.680039
486936,147.208,0.68234
495965,147.208,0.684529
505076,147.283,0.686593
514044,147.515,0.67483
523013,147.515,0.677302
531982,147.515,0.679686
540951,147.515,0.68197
549950,147.515,0.662164
558915,147.57,0.665288
567880,147.57,0.668404
576845,147.569,0.671509
585807,147.569,0.6746
594772,147.562,0.677673
603738,147.562,0.680725
612704,147.562,0.683752
621670,147.562,0.683631
630636,147.562,0.686746
639602,147.562,0.689846
648568,147.562,0.692842
657553,147.562,0.695195
666660,147.596,0.697664
675607,147.856,0.699979
684623,147.856,0.702969
693797,147.978,0.705984
702842,148.398,0.708956
711748,148.636,0.711878
720778,148.646,0.714743
729664,148.885,0.717543
738551,148.885,0.718991
747438,148.885,0.713887
