time in seconds, count in bar, beats in bar
0.27 , 2 , 4
0.67 , 3 , 4
1.07 , 4 , 4
1.47 , 1 , 4
1.87 , 2 , 4
2.27 , 3 , 4
2.67 , 4 , 4
3.07 , 1 , 4
3.47 , 2 , 4
3.87 , 3 , 4
4.27 , 4 , 4
4.67 , 1 , 4
5.07 , 2 , 4
5.47 , 3 , 4
5.87 , 4 , 4
6.27 , 1 , 4
6.67 , 2 , 4
7.07 , 3 , 4
7.49 , 4 , 4
7.91 , 1 , 4
8.31 , 2 , 4
8.71 , 3 , 4
9.11 , 4 , 4
9.51 , 1 , 3
9.91 , 2 , 3
10.31 , 3 , 3
10.71 , 1 , 3
11.1 , 2 , 3
11.49 , 3 , 3
11.88 , 1 , 4
12.27 , 2 , 4
12.66 , 3 , 4
13.05 , 4 , 4
13.44 , 1 , 4
13.83 , 2 , 4
14.23 , 3 , 4
14.63 , 4 , 4
15.03 , 1 , 4
15.43 , 2 , 4
15.83 , 3 , 4
16.23 , 4 , 4
16.63 , 1 , 4
17.03 , 2 , 4
17.43 , 3 , 4
17.83 , 4 , 4
18.23 , 1 , 4
18.63 , 2 , 4
19.03 , 3 , 4
19.43 , 4 , 4
19.83 , 1 , 4
20.23 , 2 , 4
20.63 , 3 , 4
21.03 , 4 , 4
21.43 , 1 , 4
21.83 , 2 , 4
22.23 , 3 , 4
22.63 , 4 , 4
23.03 , 1 , 4
23.43 , 2 , 4
23.83 , 3 , 4
24.23 , 4 , 4
24.63 , 1 , 4
25.02 , 2 , 4
25.41 , 3 , 4
25.8 , 4 , 4
26.19 , 1 , 4
26.58 , 2 , 4
26.98 , 3 , 4
27.38 , 4 , 4
27.78 , 1 , 4
28.18 , 2 , 4
28.58 , 3 , 4
28.98 , 4 , 4
29.38 , 1 , 4
29.78 , 2 , 4
30.18 , 3 , 4
30.58 , 4 , 4
30.98 , 1 , 4
31.38 , 2 , 4
31.78 , 3 , 4
32.18 , 4 , 4
32.58 , 1 , 4
32.98 , 2 , 4
33.38 , 3 , 4
33.78 , 4 , 4
34.18 , 1 , 4
34.58 , 2 , 4
35 , 3 , 4
35.42 , 4 , 4
35.84 , 1 , 4
36.26 , 2 , 4
36.68 , 3 , 4
37.1 , 4 , 4
37.52 , 1 , 4
37.94 , 2 , 4
38.34 , 3 , 4
38.74 , 4 , 4
39.14 , 1 , 4
39.54 , 2 , 4
39.94 , 3 , 4
40.33 , 4 , 4
40.72 , 1 , 4
41.11 , 2 , 4
41.5 , 3 , 4
41.89 , 4 , 4
42.28 , 1 , 4
42.67 , 2 , 4
43.06 , 3 , 4
43.45 , 4 , 4
43.84 , 1 , 4
44.23 , 2 , 4
44.62 , 3 , 4
45.02 , 4 , 4
45.42 , 1 , 4
45.84 , 2 , 4
46.26 , 3 , 4
46.68 , 4 , 4
47.08 , 1 , 4
47.48 , 2 , 4
47.88 , 3 , 4
48.28 , 4 , 4
48.67 , 1 , 4
49.06 , 2 , 4
49.45 , 3 , 4
49.84 , 4 , 4
50.23 , 1 , 4
50.62 , 2 , 4
51.01 , 3 , 4
51.4 , 4 , 4
51.79 , 1 , 4
52.19 , 2 , 4
52.59 , 3 , 4
52.99 , 4 , 4
53.39 , 1 , 4
53.79 , 2 , 4
54.19 , 3 , 4
54.59 , 4 , 4
54.99 , 1 , 4
55.39 , 2 , 4
55.79 , 3 , 4
56.19 , 4 , 4
56.59 , 1 , 4
56.99 , 2 , 4
57.39 , 3 , 4
57.79 , 4 , 4
58.19 , 1 , 4
58.59 , 2 , 4
58.99 , 3 , 4
59.39 , 4 , 4
59.79 , 1 , 4
60.19 , 2 , 4
60.59 , 3 , 4
60.99 , 4 , 4
61.39 , 1 , 4
61.79 , 2 , 4
62.19 , 3 , 4
