Position,BPM,Probability
1791,160.164,0.958709
10052,160.164,0.957777
18323,160.164,0.957095
26587,160.185,0.956286
34845,160.196,0.955754
43110,160.196,0.955275
51370,160.208,0.954799
59622,160.213,0.954417
67874,160.203,0.954053
76119,160.19,0.954037
84357,160.162,0.95429
92587,160.114,0.954494
100817,160.045,0.954843
109045,159.967,0.955495
117278,159.877,0.956495
125522,159.786,0.957467
133777,159.709,0.959446
142044,159.649,0.960785
150326,159.607,0.96215
158630,159.593,0.964003
166955,159.624,0.96556
175253,159.703,0.967268
183564,159.733,0.968889
191887,159.795,0.970425
200190,159.888,0.971436
208509,159.95,0.972858
216811,160.052,0.974183
225098,160.131,0.975297
233370,160.185,0.976481
241627,160.214,0.977578
249822,160.214,0.978584
257987,160.077,0.979147
266181,159.861,0.980016
274401,159.685,0.980784
282646,159.545,0.981137
290912,159.445,0.981716
299196,159.378,0.98217
307498,159.343,0.982463
315688,159.343,0.98254
323904,159.098,0.982116
332151,158.885,0.981032
340428,158.716,0.979725
348726,158.593,0.977392
357049,158.5,0.973319
365385,158.451,0.964683
373736,158.424,0.945132
382087,158.424,0.945132
390438,158.504,0.961476
398747,158.636,0.970891
407024,158.79,0.974316
415283,158.79,0.97765
423614,158.878,0.979505
431899,159.031,0.98088
440146,159.184,0.981119
448385,159.321,0.981908
456625,159.439,0.981725
464867,159.541,0.982466
473112,159.624,0.982075
481361,159.697,0.982544
489611,159.757,0.982965
497864,159.806,0.983303
506119,159.842,0.983749
514379,159.866,0.984309
522643,159.882,0.983784
530910,159.892,0.984061
539179,159.895,0.983437
547451,159.892,0.983677
555726,159.895,0.982979
563998,159.901,0.982937
572268,159.91,0.982148
580537,159.918,0.982338
588806,159.926,0.981505
597075,159.925,0.981038
605347,159.919,0.981107
613622,159.912,0.980195
621898,159.906,0.980058
630174,159.897,0.979078
638452,159.889,0.978011
646730,159.882,0.977971
655008,159.894,0.978121
663276,159.921,0.978336
671536,159.949,0.977355
679794,159.977,0.97746
688050,160,0.976436
696307,160.019,0.976461
704566,160.017,0.975389
712835,160.016,0.975605
721103,159.998,0.974511
729380,159.991,0.974513
737652,159.963,0.973373
745935,159.916,0.973562
754229,159.953,0.973539
762483,160.061,0.973206
770698,160.242,0.972074
778871,160.242,0.971775
787127,160.211,0.970556
795399,160.154,0.96924
803686,160.04,0.96783
812005,159.881,0.967841
820354,159.695,0.966418
828725,159.484,0.964915
837120,159.313,0.963306
845505,159.221,0.961867
853857,159.152,0.960106
862202,159.157,0.958511
870512,159.239,0.956661
878781,159.239,0.955899
887089,159.315,0.953949
895357,159.315,0.95256
903661,159.395,0.951154
911924,159.395,0.949796
920224,159.473,0.947704
928483,159.473,0.946244
936779,159.57,0.944049
945025,159.57,0.942595
953316,159.57,0.940308
961607,159.57,0.93878
969898,159.57,0.936405
