time in seconds, count in bar, beats in bar
0.03 , 2 , 4
0.41 , 3 , 4
0.79 , 4 , 4
1.17 , 1 , 4
1.54 , 2 , 4
1.91 , 3 , 4
2.28 , 4 , 4
2.65 , 1 , 4
3.03 , 2 , 4
3.41 , 3 , 4
3.79 , 4 , 4
4.17 , 1 , 4
4.55 , 2 , 4
4.92 , 3 , 4
5.29 , 4 , 4
5.66 , 1 , 4
6.03 , 2 , 4
6.4 , 3 , 4
6.77 , 4 , 4
7.15 , 1 , 4
7.53 , 2 , 4
7.91 , 3 , 4
8.29 , 4 , 4
8.67 , 1 , 4
9.04 , 2 , 4
9.41 , 3 , 4
9.78 , 4 , 4
10.15 , 1 , 4
10.52 , 2 , 4
10.9 , 3 , 4
11.28 , 4 , 4
11.66 , 1 , 4
12.04 , 2 , 4
12.41 , 3 , 4
12.78 , 4 , 4
13.15 , 1 , 4
13.52 , 2 , 4
13.89 , 3 , 4
14.26 , 4 , 4
14.64 , 1 , 4
15.02 , 2 , 4
15.4 , 3 , 4
15.78 , 4 , 4
16.16 , 1 , 4
16.54 , 2 , 4
16.92 , 3 , 4
17.3 , 4 , 4
17.67 , 1 , 4
18.04 , 2 , 4
18.41 , 3 , 4
18.78 , 4 , 4
19.15 , 1 , 4
19.52 , 2 , 4
19.9 , 3 , 4
20.28 , 4 , 4
20.66 , 1 , 4
21.04 , 2 , 4
21.42 , 3 , 4
21.8 , 4 , 4
22.18 , 1 , 4
