time in seconds, count in bar, beats in bar
0 , 1 , 4
0.39 , 2 , 4
0.78 , 3 , 4
1.17 , 4 , 4
1.56 , 1 , 4
1.95 , 2 , 4
2.34 , 3 , 4
2.73 , 4 , 4
3.12 , 1 , 4
3.51 , 2 , 4
3.9 , 3 , 4
4.29 , 4 , 4
4.68 , 1 , 4
5.07 , 2 , 4
5.46 , 3 , 4
5.85 , 4 , 4
6.24 , 1 , 4
6.63 , 2 , 4
7.02 , 3 , 4
7.41 , 4 , 4
7.8 , 1 , 4
8.19 , 2 , 4
8.58 , 3 , 4
8.97 , 4 , 4
9.35 , 1 , 4
9.73 , 2 , 4
10.11 , 3 , 4
10.49 , 4 , 4
10.87 , 1 , 4
11.25 , 2 , 4
11.63 , 3 , 4
12.01 , 4 , 4
12.39 , 1 , 4
12.77 , 2 , 4
13.15 , 3 , 4
13.53 , 4 , 4
13.91 , 1 , 4
14.29 , 2 , 4
14.67 , 3 , 4
15.05 , 4 , 4
15.43 , 1 , 4
15.81 , 2 , 4
16.19 , 3 , 4
16.57 , 4 , 4
16.95 , 1 , 4
17.33 , 2 , 4
17.71 , 3 , 4
18.09 , 4 , 4
18.47 , 1 , 4
18.85 , 2 , 4
19.23 , 3 , 4
19.61 , 4 , 4
19.99 , 1 , 4
20.37 , 2 , 4
20.75 , 3 , 4
21.13 , 4 , 4
21.51 , 1 , 4
21.89 , 2 , 4
22.27 , 3 , 4
22.65 , 4 , 4
23.03 , 1 , 4
23.41 , 2 , 4
23.79 , 3 , 4
24.17 , 4 , 4
24.55 , 1 , 4
24.93 , 2 , 4
25.31 , 3 , 4
25.7 , 4 , 4
26.09 , 1 , 4
26.48 , 2 , 4
26.87 , 3 , 4
27.26 , 4 , 4
27.66 , 1 , 4
28.06 , 2 , 4
28.46 , 3 , 4
28.86 , 4 , 4
29.26 , 1 , 4
29.66 , 2 , 4
30.06 , 3 , 4
30.46 , 4 , 4
30.86 , 1 , 4
31.26 , 2 , 4
31.66 , 3 , 4
32.06 , 4 , 4
32.46 , 1 , 4
32.86 , 2 , 4
33.26 , 3 , 4
33.66 , 4 , 4
34.06 , 1 , 4
34.46 , 2 , 4
34.86 , 3 , 4
35.26 , 4 , 4
35.66 , 1 , 4
36.06 , 2 , 4
36.46 , 3 , 4
36.86 , 4 , 4
37.26 , 1 , 4
37.65 , 2 , 4
38.04 , 3 , 4
38.43 , 4 , 4
38.82 , 1 , 4
39.21 , 2 , 4
39.6 , 3 , 4
39.99 , 4 , 4
40.37 , 1 , 4
40.75 , 2 , 4
41.13 , 3 , 4
41.51 , 4 , 4
41.89 , 1 , 4
42.27 , 2 , 4
42.65 , 3 , 4
43.03 , 4 , 4
43.41 , 1 , 4
43.79 , 2 , 4
44.17 , 3 , 4
44.55 , 4 , 4
44.93 , 1 , 4
45.31 , 2 , 4
45.69 , 3 , 4
46.07 , 4 , 4
46.45 , 1 , 4
46.83 , 2 , 4
47.22 , 3 , 4
47.61 , 4 , 4
48 , 1 , 4
48.39 , 2 , 4
48.78 , 3 , 4
49.16 , 4 , 4
49.54 , 1 , 4
49.92 , 2 , 4
50.3 , 3 , 4
50.68 , 4 , 4
51.06 , 1 , 4
51.44 , 2 , 4
51.82 , 3 , 4
52.2 , 4 , 4
52.59 , 1 , 4
52.98 , 2 , 4
53.37 , 3 , 4
53.75 , 4 , 4
54.13 , 1 , 4
54.51 , 2 , 4
54.89 , 3 , 4
55.27 , 4 , 4
55.64 , 1 , 4
56.01 , 2 , 4
56.38 , 3 , 4
56.76 , 4 , 4
57.14 , 1 , 4
57.52 , 2 , 4
57.91 , 3 , 4
58.3 , 4 , 4
58.69 , 1 , 4
59.07 , 2 , 4
59.45 , 3 , 4
59.83 , 4 , 4
