time in seconds, count in bar, beats in bar
0.23 , 1 , 4
0.63 , 2 , 4
1.03 , 3 , 4
1.43 , 4 , 4
1.83 , 1 , 4
2.23 , 2 , 4
2.63 , 3 , 4
3.03 , 4 , 4
3.43 , 1 , 4
3.83 , 2 , 4
4.23 , 3 , 4
4.63 , 4 , 4
5.03 , 1 , 4
5.43 , 2 , 4
5.83 , 3 , 4
6.23 , 4 , 4
6.63 , 1 , 4
7.03 , 2 , 4
7.43 , 3 , 4
7.83 , 4 , 4
8.23 , 1 , 4
8.63 , 2 , 4
9.03 , 3 , 4
9.43 , 4 , 4
9.83 , 1 , 4
10.23 , 2 , 4
10.63 , 3 , 4
11.03 , 4 , 4
11.43 , 1 , 4
11.83 , 2 , 4
12.23 , 3 , 4
12.63 , 4 , 4
13.03 , 1 , 4
13.43 , 2 , 4
13.83 , 3 , 4
14.23 , 4 , 4
14.63 , 1 , 4
15.03 , 2 , 4
15.43 , 3 , 4
15.83 , 4 , 4
16.23 , 1 , 4
16.63 , 2 , 4
17.03 , 3 , 4
17.43 , 4 , 4
17.83 , 1 , 4
18.23 , 2 , 4
18.62 , 3 , 4
19.01 , 4 , 4
19.41 , 1 , 4
19.81 , 2 , 4
20.21 , 3 , 4
20.61 , 4 , 4
21.01 , 1 , 4
21.41 , 2 , 4
21.81 , 3 , 4
22.21 , 4 , 4
22.61 , 1 , 4
23.01 , 2 , 4
23.41 , 3 , 4
23.81 , 4 , 4
24.21 , 1 , 4
24.61 , 2 , 4
25.01 , 3 , 4
25.41 , 4 , 4
25.81 , 1 , 4
26.21 , 2 , 4
26.61 , 3 , 4
27.01 , 4 , 4
27.41 , 1 , 4
27.81 , 2 , 4
28.21 , 3 , 4
28.61 , 4 , 4
29.01 , 1 , 4
29.4 , 2 , 4
29.79 , 3 , 4
30.18 , 4 , 4
30.57 , 1 , 4
30.96 , 2 , 4
31.35 , 3 , 4
31.74 , 4 , 4
32.12 , 1 , 4
32.5 , 2 , 4
32.88 , 3 , 4
33.26 , 4 , 4
33.64 , 1 , 4
34.02 , 2 , 4
34.4 , 3 , 4
34.78 , 4 , 4
35.16 , 1 , 4
35.54 , 2 , 4
35.92 , 3 , 4
36.3 , 4 , 4
36.68 , 1 , 4
37.06 , 2 , 4
37.44 , 3 , 4
37.82 , 4 , 4
38.2 , 1 , 4
38.58 , 2 , 4
38.97 , 3 , 4
39.36 , 4 , 4
39.75 , 1 , 4
40.14 , 2 , 4
40.53 , 3 , 4
40.91 , 4 , 4
41.29 , 1 , 4
41.67 , 2 , 4
42.05 , 3 , 4
42.43 , 4 , 4
42.81 , 1 , 4
43.19 , 2 , 4
43.57 , 3 , 4
43.95 , 4 , 4
44.34 , 1 , 4
44.73 , 2 , 4
45.12 , 3 , 4
45.5 , 4 , 4
45.88 , 1 , 4
46.26 , 2 , 4
46.64 , 3 , 4
47.02 , 4 , 4
47.39 , 1 , 4
47.76 , 2 , 4
48.13 , 3 , 4
48.51 , 4 , 4
48.89 , 1 , 4
49.27 , 2 , 4
49.66 , 3 , 4
50.05 , 4 , 4
50.44 , 1 , 4
50.82 , 2 , 4
51.2 , 3 , 4
51.58 , 4 , 4
51.96 , 1 , 4
52.34 , 2 , 4
52.73 , 3 , 4
53.12 , 4 , 4
53.51 , 1 , 4
53.89 , 2 , 4
54.27 , 3 , 4
54.65 , 4 , 4
55.03 , 1 , 4
55.42 , 2 , 4
55.81 , 3 , 4
56.19 , 4 , 4
56.57 , 1 , 4
56.95 , 2 , 4
57.33 , 3 , 4
57.71 , 4 , 4
58.09 , 1 , 4
58.48 , 2 , 4
58.87 , 3 , 4
59.26 , 4 , 4
59.65 , 1 , 4
60.04 , 2 , 4
60.43 , 3 , 4
60.82 , 4 , 4
61.22 , 1 , 4
61.62 , 2 , 4
62.01 , 3 , 4
62.4 , 4 , 4
62.79 , 1 , 4
63.18 , 2 , 4
63.57 , 3 , 4
63.96 , 4 , 4
64.36 , 1 , 4
64.76 , 2 , 4
65.16 , 3 , 4
65.56 , 4 , 4
65.95 , 1 , 4
66.34 , 2 , 4
66.73 , 3 , 4
67.12 , 4 , 4
67.51 , 1 , 4
67.9 , 2 , 4
68.29 , 3 , 4
68.69 , 4 , 4
69.09 , 1 , 4
69.49 , 2 , 4
69.88 , 3 , 4
70.27 , 4 , 4
70.66 , 1 , 4
71.05 , 2 , 4
71.44 , 3 , 4
71.84 , 4 , 4
72.24 , 1 , 4
72.64 , 2 , 4
73.03 , 3 , 4
73.42 , 4 , 4
73.81 , 1 , 4
74.2 , 2 , 4
74.59 , 3 , 4
74.98 , 4 , 4
75.38 , 1 , 4
75.78 , 2 , 4
76.17 , 3 , 4
76.56 , 4 , 4
76.95 , 1 , 4
77.34 , 2 , 4
77.74 , 3 , 4
78.14 , 4 , 4
78.54 , 1 , 4
78.93 , 2 , 4
79.32 , 3 , 4
79.71 , 4 , 4
80.1 , 1 , 4
80.48 , 2 , 4
80.86 , 3 , 4
81.24 , 4 , 4
81.62 , 1 , 4
82 , 2 , 4
82.39 , 3 , 4
82.78 , 4 , 4
83.17 , 1 , 4
83.56 , 2 , 4
83.95 , 3 , 4
84.34 , 4 , 4
84.73 , 1 , 4
85.12 , 2 , 4
85.51 , 3 , 4
85.9 , 4 , 4
86.29 , 1 , 4
86.68 , 2 , 4
87.06 , 3 , 4
87.44 , 4 , 4
87.82 , 1 , 4
88.2 , 2 , 4
88.58 , 3 , 4
88.97 , 4 , 4
89.36 , 1 , 4
89.75 , 2 , 4
90.14 , 3 , 4
90.53 , 4 , 4
90.92 , 1 , 4
91.31 , 2 , 4
91.7 , 3 , 4
92.09 , 4 , 4
92.48 , 1 , 4
92.87 , 2 , 4
93.26 , 3 , 4
93.64 , 4 , 4
94.02 , 1 , 4
94.4 , 2 , 4
94.78 , 3 , 4
95.16 , 4 , 4
95.55 , 1 , 4
95.94 , 2 , 4
96.33 , 3 , 4
96.72 , 4 , 4
97.11 , 1 , 4
97.5 , 2 , 4
97.89 , 3 , 4
98.28 , 4 , 4
98.67 , 1 , 4
99.06 , 2 , 4
99.45 , 3 , 4
99.84 , 4 , 4
100.22 , 1 , 4
100.6 , 2 , 4
100.98 , 3 , 4
101.36 , 4 , 4
101.74 , 1 , 4
102.13 , 2 , 4
102.52 , 3 , 4
102.91 , 4 , 4
103.3 , 1 , 4
103.69 , 2 , 4
104.08 , 3 , 4
104.47 , 4 , 4
104.86 , 1 , 4
105.25 , 2 , 4
105.64 , 3 , 4
106.03 , 4 , 4
106.42 , 1 , 4
106.8 , 2 , 4
107.18 , 3 , 4
107.56 , 4 , 4
107.94 , 1 , 4
108.32 , 2 , 4
108.7 , 3 , 4
109.09 , 4 , 4
109.51 , 1 , 4
109.96 , 2 , 4
110.41 , 3 , 4
110.86 , 4 , 4
111.33 , 1 , 4
111.78 , 2 , 4
112.23 , 3 , 4
112.68 , 4 , 4
113.15 , 1 , 4
113.6 , 2 , 4
114.05 , 3 , 4
114.5 , 4 , 4
114.95 , 1 , 4
115.4 , 2 , 4
115.82 , 3 , 4
116.24 , 4 , 4
116.62 , 1 , 4
117 , 2 , 4
117.38 , 3 , 4
117.76 , 4 , 4
118.14 , 1 , 4
118.52 , 2 , 4
118.91 , 3 , 4
119.3 , 4 , 4
119.69 , 1 , 4
120.08 , 2 , 4
120.47 , 3 , 4
120.86 , 4 , 4
121.25 , 1 , 4
121.63 , 2 , 4
122.01 , 3 , 4
122.39 , 4 , 4
122.77 , 1 , 4
123.16 , 2 , 4
123.55 , 3 , 4
123.94 , 4 , 4
124.33 , 1 , 4
124.72 , 2 , 4
125.11 , 3 , 4
125.49 , 4 , 4
125.87 , 1 , 4
126.25 , 2 , 4
126.63 , 3 , 4
127.01 , 4 , 4
127.39 , 1 , 4
127.77 , 2 , 4
128.15 , 3 , 4
128.53 , 4 , 4
128.91 , 1 , 4
129.29 , 2 , 4
129.67 , 3 , 4
130.05 , 4 , 4
130.43 , 1 , 4
130.82 , 2 , 4
131.21 , 3 , 4
131.6 , 4 , 4
131.99 , 1 , 4
132.38 , 2 , 4
132.77 , 3 , 4
133.15 , 4 , 4
133.53 , 1 , 4
133.91 , 2 , 4
134.29 , 3 , 4
134.66 , 4 , 4
135.03 , 1 , 4
135.4 , 2 , 4
135.77 , 3 , 4
136.16 , 4 , 4
136.55 , 1 , 4
136.94 , 2 , 4
137.33 , 3 , 4
137.72 , 4 , 4
138.11 , 1 , 4
138.49 , 2 , 4
138.87 , 3 , 4
139.25 , 4 , 4
139.63 , 1 , 4
140.01 , 2 , 4
140.39 , 3 , 4
140.77 , 4 , 4
141.15 , 1 , 4
141.53 , 2 , 4
141.91 , 3 , 4
142.29 , 4 , 4
142.68 , 1 , 4
143.07 , 2 , 4
143.46 , 3 , 4
143.84 , 4 , 4
144.22 , 1 , 4
144.6 , 2 , 4
144.98 , 3 , 4
145.36 , 4 , 4
145.74 , 1 , 4
146.12 , 2 , 4
146.49 , 3 , 4
146.86 , 4 , 4
147.23 , 1 , 4
147.6 , 2 , 4
147.98 , 3 , 4
148.36 , 4 , 4
148.74 , 1 , 4
149.13 , 2 , 4
149.52 , 3 , 4
149.91 , 4 , 4
150.29 , 1 , 4
150.67 , 2 , 4
151.05 , 3 , 4
151.43 , 4 , 4
151.81 , 1 , 4
152.19 , 2 , 4
152.57 , 3 , 4
152.95 , 4 , 4
153.34 , 1 , 4
153.73 , 2 , 4
154.12 , 3 , 4
154.51 , 4 , 4
154.9 , 1 , 4
155.29 , 2 , 4
155.67 , 3 , 4
156.05 , 4 , 4
156.43 , 1 , 4
156.81 , 2 , 4
157.19 , 3 , 4
157.57 , 4 , 4
157.95 , 1 , 4
158.32 , 2 , 4
158.69 , 3 , 4
159.06 , 4 , 4
159.43 , 1 , 4
159.8 , 2 , 4
160.17 , 3 , 4
160.55 , 4 , 4
160.93 , 1 , 4
161.31 , 2 , 4
161.69 , 3 , 4
162.07 , 4 , 4
162.45 , 1 , 4
162.83 , 2 , 4
163.21 , 3 , 4
163.59 , 4 , 4
163.97 , 1 , 4
164.35 , 2 , 4
164.74 , 3 , 4
165.13 , 4 , 4
165.52 , 1 , 4
165.91 , 2 , 4
166.3 , 3 , 4
166.68 , 4 , 4
167.06 , 1 , 4
167.44 , 2 , 4
167.82 , 3 , 4
168.2 , 4 , 4
168.58 , 1 , 4
168.96 , 2 , 4
169.34 , 3 , 4
169.73 , 4 , 4
170.12 , 1 , 4
170.51 , 2 , 4
170.9 , 3 , 4
171.29 , 4 , 4
171.68 , 1 , 4
172.06 , 2 , 4
172.44 , 3 , 4
172.82 , 4 , 4
173.2 , 1 , 4
173.58 , 2 , 4
173.96 , 3 , 4
174.34 , 4 , 4
174.72 , 1 , 4
175.1 , 2 , 4
175.48 , 3 , 4
175.86 , 4 , 4
176.24 , 1 , 4
176.62 , 2 , 4
