time in seconds, count in bar, beats in bar
0 , 1 , 4
0.43 , 2 , 4
0.86 , 3 , 4
1.29 , 4 , 4
1.72 , 1 , 4
2.15 , 2 , 4
2.58 , 3 , 4
3.01 , 4 , 4
3.44 , 1 , 4
3.87 , 2 , 4
4.3 , 3 , 4
4.73 , 4 , 4
5.16 , 1 , 4
5.59 , 2 , 4
6.02 , 3 , 4
6.45 , 4 , 4
6.88 , 1 , 4
7.31 , 2 , 4
7.74 , 3 , 4
8.17 , 4 , 4
8.6 , 1 , 4
9.03 , 2 , 4
9.46 , 3 , 4
9.89 , 4 , 4
10.32 , 1 , 4
10.75 , 2 , 4
11.18 , 3 , 4
11.61 , 4 , 4
12.04 , 1 , 4
12.47 , 2 , 4
12.9 , 3 , 4
13.33 , 4 , 4
13.76 , 1 , 4
14.19 , 2 , 4
14.62 , 3 , 4
15.05 , 4 , 4
15.48 , 1 , 4
15.91 , 2 , 4
16.34 , 3 , 4
16.77 , 4 , 4
17.2 , 1 , 4
17.63 , 2 , 4
18.06 , 3 , 4
18.49 , 4 , 4
18.92 , 1 , 4
19.35 , 2 , 4
19.78 , 3 , 4
20.21 , 4 , 4
20.64 , 1 , 4
21.07 , 2 , 4
21.5 , 3 , 4
21.93 , 4 , 4
22.36 , 1 , 4
22.79 , 2 , 4
23.22 , 3 , 4
23.65 , 4 , 4
24.08 , 1 , 4
24.51 , 2 , 4
24.94 , 3 , 4
25.37 , 4 , 4
25.8 , 1 , 4
26.23 , 2 , 4
26.66 , 3 , 4
27.09 , 4 , 4
27.52 , 1 , 4
27.95 , 2 , 4
28.38 , 3 , 4
28.81 , 4 , 4
29.24 , 1 , 4
29.67 , 2 , 4
30.1 , 3 , 4
30.53 , 4 , 4
30.96 , 1 , 4
31.39 , 2 , 4
31.82 , 3 , 4
32.25 , 4 , 4
32.68 , 1 , 4
33.11 , 2 , 4
33.54 , 3 , 4
33.97 , 4 , 4
34.4 , 1 , 4
34.83 , 2 , 4
35.26 , 3 , 4
35.69 , 4 , 4
36.12 , 1 , 4
36.55 , 2 , 4
36.98 , 3 , 4
37.41 , 4 , 4
37.84 , 1 , 4
38.27 , 2 , 4
38.7 , 3 , 4
39.12 , 4 , 4
39.54 , 1 , 4
39.96 , 2 , 4
40.38 , 3 , 4
40.8 , 4 , 4
41.22 , 1 , 4
41.64 , 2 , 4
42.06 , 3 , 4
42.48 , 4 , 4
42.9 , 1 , 4
43.32 , 2 , 4
43.74 , 3 , 4
44.16 , 4 , 4
44.58 , 1 , 4
45 , 2 , 4
45.42 , 3 , 4
45.84 , 4 , 4
46.26 , 1 , 4
46.68 , 2 , 4
47.1 , 3 , 4
47.52 , 4 , 4
47.94 , 1 , 4
48.36 , 2 , 4
48.78 , 3 , 4
49.2 , 4 , 4
49.62 , 1 , 4
50.04 , 2 , 4
50.45 , 3 , 4
50.86 , 4 , 4
51.27 , 1 , 4
51.67 , 2 , 4
52.07 , 3 , 4
52.47 , 4 , 4
52.87 , 1 , 4
53.27 , 2 , 4
53.67 , 3 , 4
54.07 , 4 , 4
54.47 , 1 , 4
54.87 , 2 , 4
55.27 , 3 , 4
55.68 , 4 , 4
56.09 , 1 , 4
56.49 , 2 , 4
56.89 , 3 , 4
57.29 , 4 , 4
57.69 , 1 , 4
58.09 , 2 , 4
58.49 , 3 , 4
58.89 , 4 , 4
59.29 , 1 , 4
59.69 , 2 , 4
60.09 , 3 , 4
60.49 , 4 , 4
60.89 , 1 , 4
61.29 , 2 , 4
61.69 , 3 , 4
62.09 , 4 , 4
62.49 , 1 , 4
62.89 , 2 , 4
63.29 , 3 , 4
63.69 , 4 , 4
64.09 , 1 , 4
64.48 , 2 , 4
64.86 , 3 , 4
65.24 , 4 , 4
65.62 , 1 , 4
66 , 2 , 4
66.38 , 3 , 4
66.76 , 4 , 4
67.14 , 1 , 4
67.52 , 2 , 4
67.9 , 3 , 4
68.29 , 4 , 4
68.68 , 1 , 4
69.07 , 2 , 4
69.46 , 3 , 4
69.85 , 4 , 4
70.24 , 1 , 4
70.63 , 2 , 4
71.02 , 3 , 4
71.41 , 4 , 4
71.79 , 1 , 4
72.17 , 2 , 4
72.55 , 3 , 4
72.93 , 4 , 4
73.31 , 1 , 4
73.69 , 2 , 4
74.07 , 3 , 4
74.45 , 4 , 4
74.83 , 1 , 4
75.21 , 2 , 4
75.59 , 3 , 4
75.97 , 4 , 4
76.35 , 1 , 4
76.74 , 2 , 4
77.13 , 3 , 4
77.52 , 4 , 4
77.91 , 1 , 4
78.3 , 2 , 4
78.69 , 3 , 4
79.08 , 4 , 4
79.47 , 1 , 4
79.86 , 2 , 4
80.25 , 3 , 4
80.64 , 4 , 4
81.03 , 1 , 4
81.42 , 2 , 4
81.81 , 3 , 4
82.2 , 4 , 4
82.59 , 1 , 4
82.98 , 2 , 4
83.36 , 3 , 4
83.74 , 4 , 4
84.12 , 1 , 4
84.5 , 2 , 4
84.88 , 3 , 4
85.26 , 4 , 4
85.64 , 1 , 4
86.02 , 2 , 4
