time in seconds, count in bar, beats in bar
0.16 , 1 , 4
0.56 , 2 , 4
0.96 , 3 , 4
1.36 , 4 , 4
1.76 , 1 , 4
2.16 , 2 , 4
2.56 , 3 , 4
2.96 , 4 , 4
3.36 , 1 , 4
3.76 , 2 , 4
4.16 , 3 , 4
4.56 , 4 , 4
4.96 , 1 , 4
5.36 , 2 , 4
5.76 , 3 , 4
6.16 , 4 , 4
6.56 , 1 , 4
6.96 , 2 , 4
7.36 , 3 , 4
7.76 , 4 , 4
8.16 , 1 , 4
8.56 , 2 , 4
8.96 , 3 , 4
9.36 , 4 , 4
9.76 , 1 , 4
10.16 , 2 , 4
10.56 , 3 , 4
10.96 , 4 , 4
11.36 , 1 , 4
11.76 , 2 , 4
12.16 , 3 , 4
12.56 , 4 , 4
12.96 , 1 , 4
13.36 , 2 , 4
13.76 , 3 , 4
14.16 , 4 , 4
14.56 , 1 , 4
14.96 , 2 , 4
15.36 , 3 , 4
15.76 , 4 , 4
16.16 , 1 , 4
16.56 , 2 , 4
16.96 , 3 , 4
17.36 , 4 , 4
17.76 , 1 , 4
18.16 , 2 , 4
18.56 , 3 , 4
18.96 , 4 , 4
19.36 , 1 , 4
19.76 , 2 , 4
20.16 , 3 , 4
20.56 , 4 , 4
20.96 , 1 , 4
21.36 , 2 , 4
21.76 , 3 , 4
22.16 , 4 , 4
22.56 , 1 , 4
22.96 , 2 , 4
23.36 , 3 , 4
23.76 , 4 , 4
24.16 , 1 , 4
24.56 , 2 , 4
24.96 , 3 , 4
25.36 , 4 , 4
25.76 , 1 , 4
26.16 , 2 , 4
26.56 , 3 , 4
26.96 , 4 , 4
27.36 , 1 , 4
27.76 , 2 , 4
28.16 , 3 , 4
28.56 , 4 , 4
28.96 , 1 , 4
29.36 , 2 , 4
29.76 , 3 , 4
30.16 , 4 , 4
30.56 , 1 , 4
30.96 , 2 , 4
31.36 , 3 , 4
31.76 , 4 , 4
32.16 , 1 , 4
32.56 , 2 , 4
32.96 , 3 , 4
33.36 , 4 , 4
33.76 , 1 , 4
34.16 , 2 , 4
34.56 , 3 , 4
34.96 , 4 , 4
35.36 , 1 , 4
35.76 , 2 , 4
36.16 , 3 , 4
36.56 , 4 , 4
36.96 , 1 , 4
37.36 , 2 , 4
37.76 , 3 , 4
38.16 , 4 , 4
38.56 , 1 , 4
38.96 , 2 , 4
39.36 , 3 , 4
39.76 , 4 , 4
40.16 , 1 , 4
40.56 , 2 , 4
40.96 , 3 , 4
41.36 , 4 , 4
41.76 , 1 , 4
42.16 , 2 , 4
42.56 , 3 , 4
42.96 , 4 , 4
43.36 , 1 , 4
43.76 , 2 , 4
44.16 , 3 , 4
44.56 , 4 , 4
44.96 , 1 , 4
45.36 , 2 , 4
45.76 , 3 , 4
46.16 , 4 , 4
46.56 , 1 , 4
46.96 , 2 , 4
47.36 , 3 , 4
47.76 , 4 , 4
48.16 , 1 , 4
48.56 , 2 , 4
48.96 , 3 , 4
49.36 , 4 , 4
49.76 , 1 , 4
50.16 , 2 , 4
50.56 , 3 , 4
50.96 , 4 , 4
51.36 , 1 , 4
51.76 , 2 , 4
52.15 , 3 , 4
52.54 , 4 , 4
52.94 , 1 , 4
53.34 , 2 , 4
53.74 , 3 , 4
54.14 , 4 , 4
54.54 , 1 , 4
54.94 , 2 , 4
55.34 , 3 , 4
55.74 , 4 , 4
56.14 , 1 , 4
56.54 , 2 , 4
56.94 , 3 , 4
57.34 , 4 , 4
57.74 , 1 , 4
58.14 , 2 , 4
58.54 , 3 , 4
58.94 , 4 , 4
59.34 , 1 , 4
59.74 , 2 , 4
60.14 , 3 , 4
60.54 , 4 , 4
60.94 , 1 , 4
61.34 , 2 , 4
61.74 , 3 , 4
62.14 , 4 , 4
62.54 , 1 , 4
62.93 , 2 , 4
63.32 , 3 , 4
63.71 , 4 , 4
64.1 , 1 , 4
64.49 , 2 , 4
64.88 , 3 , 4
65.27 , 4 , 4
65.65 , 1 , 4
66.03 , 2 , 4
66.41 , 3 , 4
66.79 , 4 , 4
67.17 , 1 , 4
67.55 , 2 , 4
67.93 , 3 , 4
68.31 , 4 , 4
68.69 , 1 , 4
69.07 , 2 , 4
69.45 , 3 , 4
69.83 , 4 , 4
70.21 , 1 , 4
70.59 , 2 , 4
70.97 , 3 , 4
71.35 , 4 , 4
71.73 , 1 , 4
72.11 , 2 , 4
72.5 , 3 , 4
72.89 , 4 , 4
73.28 , 1 , 4
73.67 , 2 , 4
74.06 , 3 , 4
74.44 , 4 , 4
74.82 , 1 , 4
75.2 , 2 , 4
75.58 , 3 , 4
75.96 , 4 , 4
76.34 , 1 , 4
76.72 , 2 , 4
77.1 , 3 , 4
77.48 , 4 , 4
77.87 , 1 , 4
78.26 , 2 , 4
78.65 , 3 , 4
79.03 , 4 , 4
79.41 , 1 , 4
79.79 , 2 , 4
80.17 , 3 , 4
80.55 , 4 , 4
80.92 , 1 , 4
81.29 , 2 , 4
81.66 , 3 , 4
82.04 , 4 , 4
82.42 , 1 , 4
82.8 , 2 , 4
83.19 , 3 , 4
83.58 , 4 , 4
83.97 , 1 , 4
84.35 , 2 , 4
84.73 , 3 , 4
85.11 , 4 , 4
85.49 , 1 , 4
85.87 , 2 , 4
86.26 , 3 , 4
86.65 , 4 , 4
87.04 , 1 , 4
87.42 , 2 , 4
87.8 , 3 , 4
88.18 , 4 , 4
88.56 , 1 , 4
88.95 , 2 , 4
89.34 , 3 , 4
89.72 , 4 , 4
90.1 , 1 , 4
90.48 , 2 , 4
90.86 , 3 , 4
91.24 , 4 , 4
91.62 , 1 , 4
92.01 , 2 , 4
92.4 , 3 , 4
92.79 , 4 , 4
93.18 , 1 , 4
93.57 , 2 , 4
93.96 , 3 , 4
94.35 , 4 , 4
94.75 , 1 , 4
95.15 , 2 , 4
95.54 , 3 , 4
95.93 , 4 , 4
96.32 , 1 , 4
96.71 , 2 , 4
97.1 , 3 , 4
97.5 , 4 , 4
97.9 , 1 , 4
98.3 , 2 , 4
98.7 , 3 , 4
99.09 , 4 , 4
99.48 , 1 , 4
99.87 , 2 , 4
100.26 , 3 , 4
100.65 , 4 , 4
101.04 , 1 , 4
101.43 , 2 , 4
101.82 , 3 , 4
102.22 , 4 , 4
102.62 , 1 , 4
103.02 , 2 , 4
103.41 , 3 , 4
103.8 , 4 , 4
104.19 , 1 , 4
104.58 , 2 , 4
104.97 , 3 , 4
105.37 , 4 , 4
105.77 , 1 , 4
106.17 , 2 , 4
106.56 , 3 , 4
106.95 , 4 , 4
107.34 , 1 , 4
107.73 , 2 , 4
108.12 , 3 , 4
108.52 , 4 , 4
108.92 , 1 , 4
109.31 , 2 , 4
109.7 , 3 , 4
110.09 , 4 , 4
110.48 , 1 , 4
110.88 , 2 , 4
111.28 , 3 , 4
111.68 , 4 , 4
112.07 , 1 , 4
112.46 , 2 , 4
112.85 , 3 , 4
113.24 , 4 , 4
113.63 , 1 , 4
114.01 , 2 , 4
114.39 , 3 , 4
114.77 , 4 , 4
115.15 , 1 , 4
115.53 , 2 , 4
115.92 , 3 , 4
116.31 , 4 , 4
116.7 , 1 , 4
117.09 , 2 , 4
117.48 , 3 , 4
117.87 , 4 , 4
118.26 , 1 , 4
118.65 , 2 , 4
119.04 , 3 , 4
119.43 , 4 , 4
119.82 , 1 , 3
120.21 , 2 , 3
120.59 , 3 , 3
120.97 , 1 , 3
121.35 , 2 , 3
121.73 , 3 , 3
122.11 , 1 , 4
122.5 , 2 , 4
122.89 , 3 , 4
123.28 , 4 , 4
123.67 , 1 , 4
124.06 , 2 , 4
124.45 , 3 , 4
124.84 , 4 , 4
125.23 , 1 , 4
125.62 , 2 , 4
126.01 , 3 , 4
126.4 , 4 , 4
126.78 , 1 , 4
127.16 , 2 , 4
