time in seconds, count in bar, beats in bar
0.04 , 4 , 4
0.4 , 1 , 4
0.76 , 2 , 4
1.12 , 3 , 4
1.48 , 4 , 4
1.84 , 1 , 4
2.2 , 2 , 4
2.56 , 3 , 4
2.92 , 4 , 4
3.28 , 1 , 4
3.64 , 2 , 4
4 , 3 , 4
4.36 , 4 , 4
4.72 , 1 , 4
5.08 , 2 , 4
5.44 , 3 , 4
5.8 , 4 , 4
6.16 , 1 , 4
6.52 , 2 , 4
6.88 , 3 , 4
7.24 , 4 , 4
7.6 , 1 , 4
7.96 , 2 , 4
8.32 , 3 , 4
8.68 , 4 , 4
9.04 , 1 , 4
9.4 , 2 , 4
9.76 , 3 , 4
10.12 , 4 , 4
10.48 , 1 , 4
10.84 , 2 , 4
11.2 , 3 , 4
11.56 , 4 , 4
11.92 , 1 , 4
12.28 , 2 , 4
12.64 , 3 , 4
13 , 4 , 4
13.36 , 1 , 4
13.72 , 2 , 4
14.08 , 3 , 4
14.44 , 4 , 4
14.8 , 1 , 4
15.16 , 2 , 4
15.52 , 3 , 4
15.88 , 4 , 4
16.24 , 1 , 4
16.6 , 2 , 4
16.97 , 3 , 4
17.34 , 4 , 4
17.71 , 1 , 4
18.09 , 2 , 4
18.47 , 3 , 4
18.85 , 4 , 4
19.23 , 1 , 4
19.61 , 2 , 4
19.99 , 3 , 4
20.36 , 4 , 4
20.73 , 1 , 4
21.1 , 2 , 4
21.47 , 3 , 4
21.84 , 4 , 4
22.21 , 1 , 4
22.58 , 2 , 4
22.95 , 3 , 4
23.32 , 4 , 4
23.7 , 1 , 4
24.08 , 2 , 4
24.46 , 3 , 4
24.83 , 4 , 4
25.2 , 1 , 4
25.57 , 2 , 4
25.95 , 3 , 4
26.33 , 4 , 4
26.71 , 1 , 4
27.09 , 2 , 4
27.47 , 3 , 4
27.85 , 4 , 4
28.23 , 1 , 4
28.6 , 2 , 4
28.97 , 3 , 4
29.34 , 4 , 4
29.71 , 1 , 4
30.08 , 2 , 4
30.45 , 3 , 4
30.83 , 4 , 4
31.21 , 1 , 4
31.59 , 2 , 4
31.97 , 3 , 4
32.35 , 4 , 4
32.73 , 1 , 4
33.1 , 2 , 4
33.47 , 3 , 4
33.84 , 4 , 4
34.21 , 1 , 4
34.58 , 2 , 4
34.95 , 3 , 4
35.33 , 4 , 4
35.71 , 1 , 4
36.09 , 2 , 4
36.47 , 3 , 4
36.85 , 4 , 4
37.22 , 1 , 4
37.59 , 2 , 4
37.96 , 3 , 4
38.33 , 4 , 4
38.7 , 1 , 4
39.07 , 2 , 4
39.45 , 3 , 4
39.83 , 4 , 4
40.21 , 1 , 4
40.59 , 2 , 4
40.97 , 3 , 4
41.35 , 4 , 4
41.72 , 1 , 4
42.09 , 2 , 4
42.46 , 3 , 4
42.83 , 4 , 4
43.2 , 1 , 4
43.58 , 2 , 4
43.96 , 3 , 4
44.34 , 4 , 4
44.72 , 1 , 4
45.09 , 2 , 4
45.46 , 3 , 4
45.83 , 4 , 4
46.2 , 1 , 4
46.58 , 2 , 4
46.96 , 3 , 4
47.34 , 4 , 4
47.72 , 1 , 4
48.09 , 2 , 4
48.46 , 3 , 4
48.83 , 4 , 4
49.2 , 1 , 4
49.57 , 2 , 4
49.94 , 3 , 4
50.31 , 4 , 4
50.69 , 1 , 4
51.07 , 2 , 4
51.45 , 3 , 4
51.83 , 4 , 4
52.21 , 1 , 4
52.59 , 2 , 4
52.96 , 3 , 4
53.33 , 4 , 4
53.71 , 1 , 4
54.09 , 2 , 4
54.47 , 3 , 4
54.84 , 4 , 4
55.21 , 1 , 4
55.58 , 2 , 4
55.95 , 3 , 4
56.33 , 4 , 4
56.71 , 1 , 4
57.09 , 2 , 4
57.46 , 3 , 4
57.83 , 4 , 4
58.2 , 1 , 4
58.57 , 2 , 4
58.95 , 3 , 4
59.33 , 4 , 4
59.71 , 1 , 4
60.09 , 2 , 4
